date,text,hash_tags
2020-09-04,"  ,   2  This is Trump at his best. Enthusiastic, all over, unscripted, not serious, entertaining and the crowd loved every minute.2",
2020-09-04," has the nerve to disrespect veterans, dead AND alive, while not one person in his entire family has served.Current location of  and : Loserville1",
2020-09-04,Americans should demand International monitoring in the election. This President had overtly sought to suppress voters who have disagreed with him.117,
2020-09-04,Mask is Joe Biden’s security blanket.16,
2020-09-04,". Polls are, as in the past, Fake News. They have been from the beginning, way off in 2016. Get a new pollster. I believe we are leading BIG!2.12.511.5",
2020-09-05, What US President has done more for the US MILITARY & VETERANS than Donald J. Trump? Pete ButtigiegWhen we have a president who knows what it’s like to send a loved one overseas it wont just be talk—it will be personal.11,
2020-09-05, has confirmed key elements of the Atlantic story. Let that sink in! You only use the military as props!Shame on you! Shame!1,
2020-09-05,"HORSE PUCKY. Do U Stand by your claim, ""Only Criminals Take The 5th.""          Soon the Headline Will B:    ","['#SonEricTakesThe5th', '#TrumpIsTheVirus', '#SaveTheUSPS', '#BLM', '#TrumpsJawsonTakesThe5th', '#86the45', '#MakeJrTakeThe5th', '#45WillTakeThe5th', '#TrumpsAllTakeThe5th', '#WheresMyCovidTest', '#Subrosas4Trumps1']"
2020-09-05,"Not any more! Ian Miles CheongCritical race theory is the greatest threat to western civilization and it’s made its way into the US federal government, the military, and the justice system.1.43.410.6",
2020-09-05,2 Anonymous sources claimed they saw  eat my last piece of candy.1,
2020-09-05,"Exclusive: Nearly 700 U.S. Veterans Issue Open Letter in Support of Trump https://breitbart.com/politics/2020/09/04/exclusive-nearly-700-u-s-veterans-issue-open-letter-in-support-of-trump/… via  Thank you! As we get closer and closer to the November 3rd Election, and as my poll numbers rocket up, the attacks get more and more vicious. I love our HEROES!Exclusive: Nearly 700 U.S. Veterans Issue Open Letter in Support of TrumpNearly 700 American veterans have issued a letter affirming their support of Trump against establishment media attacks.breitbart.com1.82.36.9",
2020-09-05,"Owner of Salon Visited by Pelosi Raises over $220,000 on GoFundMe https://breitbart.com/politics/2020/09/04/owner-of-salon-visited-by-nancy-pelosi-raises-over-220000-on-gofundme/… via . Great!!!Owner of Salon Visited by Pelosi Raises over $220,000 on GoFundMeFormer Nevada State GOP chairman Amy Tarkanian has raised over $220,000 for Erica Kious, the owner of the salon Nancy Pelosi attended Monday.breitbart.com7.31.97.2",
2020-09-05," When the President defends himself, he has PROOF.I love him more each day.2",
2020-09-05,Then he has no Respect for our Military Men and Women story even verified by his propaganda network Fox! Was going to close Stars and Stripes down but Changed his mind because he’s trying to save his neck!14,
2020-09-05,"Now admit you're completely incompetent and making stupid decisions is in your DNA. Nah. I didn't think so. ""Everybody knows it"" though.     ","['#TrumpHatesOurMilitary', '#TrumpIsALoser', '#incompetent', '#TrumpMeltdown', '#TrumpVirusDeathToll186K1']"
2020-09-05,"Speaking of thugs, did you investigate you buddy Putin putting bounties on American Soldiers heads?2",
2020-09-05,"Why the backtracking, ? We know you were behind this. Was it a step too far for even the most rabid of your active duty and veteran  supporters?   ","['#BenedictDonald', '#MAGAt', '#TrumpHatesOurMilitary', '#TrumpResignNow', '#TrumpIsALoser11']"
2020-09-05,"I am proud of all you do Mr. President, despite the constant vitriol and lies thrown at you.You continue to work tirelessly for a better country for All AMERICAN people. Prayers for your family. God bless  our country. 1211",
2020-09-05,Another day everyone thought would be impossible! Congratulations to  Vucic of Serbia and PM  Hoti of Kosovo on committing to ! This is a major step forward...2.91.66.8,['#EconomicNormalization']
2020-09-05,Your campaign just died.13,
2020-09-05,"Your Twitter Poll isn't looking so good with 85/86 million followers and under 80K likes - Is so weird   Maybe the other 84+ millions of twitwits following you are your so called ""silent majority""  ?12",
2020-09-05,I believe that you are batshit crazy.15,
2020-09-05,"A sad spectacle yesterday in the White House press briefing roomThe Lazy Lies of President ChaosYou want some convenient examples of why Donald Trump is not fit to serve as president of the United States? I know, it’s not as if anybody needs even more. But yesterday’s White House press briefing...thebulwark.com14",
2020-09-06,Congratulations to the U.S. Marshals on a job well done in Portland. LAW & ORDER!1.4422.2,
2020-09-06,"I suppose that's one way to make up for losing money during a Pandemic, setup the Speaker of the House and go on FOX News. Is she gonna be your next girlfriend too?12",
2020-09-06,We all know that you lie and say horrible things about almost everyone but yourself.  Grow up and become a man.1,
2020-09-06,Fox is the New CNN since they got bought out! Tucker and his crew need to move to  !!!22,
2020-09-06,"Unlike YOU there is proof that it was a ‘setup’ Still waiting on that DNA Sample to prove you didn’t rape Hairstylist Backs Up Nancy's Story, Claims Salon Owner Has Been Operating Indoors Illegally for...The drama escalated after the stylist who had taken the appointment with the speaker issued a statement — through a lawyer — laying out a few claims of his own about Erica Kious, the salon owner who...sfist.com1",
2020-09-06,"Dude, you got played by all 3 of them. 4",
2020-09-06,"Yes, i am planning on gettin ""set up"" by buying a boat. Think my wife will go for that excuse?4",
2020-09-06,Watched this scared to death. Day later Trump ENDED...another Obama seed!!Love president Trump!13,
2020-09-06,"Department of Education is looking at this. If so, they will not be funded! Ocitmancalifornia has implemented the 1619 project into the public schools. soon you wont recognize america1.63.18.7",
2020-09-06,"You see Lou Holtz, Rush Limbaugh, Tiger Woods, etc as heroes, not those who sacrificed and gave their all for America. We all know how you really feel especially about disabled. I could easily find 700 vets who don't feel that way just in response to a couple of your tweets.2",
2020-09-06,Do you mean Michelle Obama?13,
2020-09-07,"  *It's A Felony Telling People: To Vote Twice!! It's Fraud If You Do Vote Twice! BrooklynDad_Defiant!Donald trump is STILL encouraging his supporters to vote twice. What kind of shithole loser ""president"" intentionally tells his supporters to commit a FELONY?11",
2020-09-07,"This HERO survived Pearl Harbor and Iwo Jima, but your    negligence and incompetence killed him  .    FacesOfCOVIDROBIN BARRETT, 95, of Oregon died of COVID-19 in April.He joined the Marines at age 17 after the attacks on Pearl Harbor, and later fought at the Battle of Iwo Jima. After the war he raised a family and worked in sales and as a Little League coach.https://kgw.com/article/news/health/coronavirus/world-war-two-veteran-robert-barrett-dies-of-coronavirus-at-oregon-veterans-home/283-cb8d07fd-3c7a-4da9-b302-189432785763…1","['#TrumpVirus', '#TrumpHatesOurVeterans', '#TrumpIsALoser', '#WeRespectOurVets트윗']"
2020-09-07,Love love love that people find this stuff.  Got to wonder what happened back in 2013 that solidified their friendship. It must have been golden!11,
2020-09-07,What does their lack of political support have to do with football? Maybe they have more pressing issues??1,
2020-09-07,"If they can't protest without making a fool of themselves, I dont think I care very much about their opinions and ideas.2",
2020-09-07,  I can't get our Patriots to agree to have a MASK BURNING PARTY all day tomorrow to throw this hoax right back in the Demoncrats Faces. What say you sir? No more Mask Madates?  PLEASE SIR I need your help to get everyone to join us!11,
2020-09-07,Can you watch some other show? I agree it is very good one but try some variety. I don't post KISS everyday. It gets tedious after awhile.1,
2020-09-07,purr besty2,
2020-09-07,"Great video, Why the Left on both sides of the Atlantic keep losing, and will continue to lose.The Left has become so extreme, that their moderate supporters are walking away.They realise they have become the bad guys.23",
2020-09-07,Yes it will be when you are out of our house.2,
2020-09-07,"The bankruptcy of the leftist elite takes place by flushing dollars down media toilets. Flushing meadows of lies, not worthy to use for compost.12",
2020-09-07,"God Bless Them All . Our President Stands With and Supports Our Veterans, he has Much Love and Respect for Our Military.  2",
2020-09-07,I think everyone sees it clearly it this point.  Some just choose to not care because they hate trump that much.13,
2020-09-07, Hey Joe.....the DEMS are just propping YOU and trying to do the sequel “Weekend at Biden’s!!!”1,
2020-09-07,"Notice at the end, it's a POLICE OFFICER with a fire extinguisher who puts out the fire.",['#BackTheBlue14']
2020-09-07," developed despite its very weak  ,  fell after the end of the , despite the fact that its economy was the  in .The 's economy is not the only  of your strength and ","['#Singapore', '#economy', '#Germany', '#FirstWorldWar', '#strongest', '#Europe', '#country', '#evidence', '#success1']"
2020-09-07,"This is not a failed episode of , these are people’s lives you fool 1",['#theapprentice']
2020-09-07,Beb let me feed you and i eat from your mouth  uummahh1,
2020-09-07, they get what they deserve3,
2020-09-08,Takes too long to fact check since you lie so much.4,
2020-09-08,Love ur school girl nicknames. Ur so clever. U pos.3,
2020-09-08,190000 dead Americans due to a weakly run executive branch...record unemployment...Russian interference...USPS in shambles...We get the fucking picture.   ,"['#TrumpVirusDeathToll193K', '#SaveThePostOffice', '#TrumpHatesOurMilitary', '#BountyGate22']"
